period,stateid,stateDescription,sectorid,sectorName,price,sales,price-units,sales-units,sector
2001-01-01,OH,Ohio,RES,residential,7.59,5432.95864,cents per kilowatt-hour,million kilowatt hours,RES
2001-01-01,OH,Ohio,COM,commercial,7.61,3420.42552,cents per kilowatt-hour,million kilowatt hours,COM
2001-02-01,OH,Ohio,COM,commercial,8.58,3005.61322,cents per kilowatt-hour,million kilowatt hours,COM
2001-02-01,OH,Ohio,RES,residential,7.87,4011.77856,cents per kilowatt-hour,million kilowatt hours,RES
2001-03-01,OH,Ohio,RES,residential,7.99,4034.49837,cents per kilowatt-hour,million kilowatt hours,RES
2001-03-01,OH,Ohio,COM,commercial,8.34,3209.70364,cents per kilowatt-hour,million kilowatt hours,COM
2001-04-01,OH,Ohio,COM,commercial,8.57,2951.70947,cents per kilowatt-hour,million kilowatt hours,COM
2001-04-01,OH,Ohio,RES,residential,8.38,3278.86713,cents per kilowatt-hour,million kilowatt hours,RES
2001-05-01,OH,Ohio,COM,commercial,8.86,3299.9395,cents per kilowatt-hour,million kilowatt hours,COM
2001-05-01,OH,Ohio,RES,residential,8.93,3108.4299,cents per kilowatt-hour,million kilowatt hours,RES
2001-06-01,OH,Ohio,COM,commercial,8.79,3356.41139,cents per kilowatt-hour,million kilowatt hours,COM
2001-06-01,OH,Ohio,RES,residential,9.28,3561.75234,cents per kilowatt-hour,million kilowatt hours,RES
2001-07-01,OH,Ohio,RES,residential,9.01,4808.91952,cents per kilowatt-hour,million kilowatt hours,RES
2001-07-01,OH,Ohio,COM,commercial,8.53,3730.7262,cents per kilowatt-hour,million kilowatt hours,COM
2001-08-01,OH,Ohio,COM,commercial,8.38,3967.9245,cents per kilowatt-hour,million kilowatt hours,COM
2001-08-01,OH,Ohio,RES,residential,8.86,5084.12532,cents per kilowatt-hour,million kilowatt hours,RES
2001-09-01,OH,Ohio,COM,commercial,8.68,3125.63915,cents per kilowatt-hour,million kilowatt hours,COM
2001-09-01,OH,Ohio,RES,residential,8.78,3445.04715,cents per kilowatt-hour,million kilowatt hours,RES
2001-10-01,OH,Ohio,COM,commercial,8.72,3329.67566,cents per kilowatt-hour,million kilowatt hours,COM
2001-10-01,OH,Ohio,RES,residential,8.35,3196.76976,cents per kilowatt-hour,million kilowatt hours,RES
2001-11-01,OH,Ohio,COM,commercial,8.31,2893.57459,cents per kilowatt-hour,million kilowatt hours,COM
2001-11-01,OH,Ohio,RES,residential,7.95,3319.20528,cents per kilowatt-hour,million kilowatt hours,RES
2001-12-01,OH,Ohio,COM,commercial,8.23,3080.73515,cents per kilowatt-hour,million kilowatt hours,COM
2001-12-01,OH,Ohio,RES,residential,7.69,4063.81103,cents per kilowatt-hour,million kilowatt hours,RES
2002-01-01,OH,Ohio,COM,commercial,7.2,3166.93377,cents per kilowatt-hour,million kilowatt hours,COM
2002-01-01,OH,Ohio,RES,residential,7.59,5127.37575,cents per kilowatt-hour,million kilowatt hours,RES
2002-02-01,OH,Ohio,COM,commercial,7.92,2963.36063,cents per kilowatt-hour,million kilowatt hours,COM
2002-02-01,OH,Ohio,RES,residential,7.84,3685.37626,cents per kilowatt-hour,million kilowatt hours,RES
2002-03-01,OH,Ohio,RES,residential,7.78,4119.89923,cents per kilowatt-hour,million kilowatt hours,RES
2002-03-01,OH,Ohio,COM,commercial,8.02,3132.33261,cents per kilowatt-hour,million kilowatt hours,COM
2002-04-01,OH,Ohio,COM,commercial,7.9,3058.81239,cents per kilowatt-hour,million kilowatt hours,COM
2002-04-01,OH,Ohio,RES,residential,8.18,3446.88739,cents per kilowatt-hour,million kilowatt hours,RES
2002-05-01,OH,Ohio,RES,residential,9.04,3155.58163,cents per kilowatt-hour,million kilowatt hours,RES
2002-05-01,OH,Ohio,COM,commercial,8.24,3205.70477,cents per kilowatt-hour,million kilowatt hours,COM
2002-06-01,OH,Ohio,COM,commercial,7.94,3628.64843,cents per kilowatt-hour,million kilowatt hours,COM
2002-06-01,OH,Ohio,RES,residential,8.65,4202.73337,cents per kilowatt-hour,million kilowatt hours,RES
2002-07-01,OH,Ohio,RES,residential,8.84,5754.35729,cents per kilowatt-hour,million kilowatt hours,RES
2002-07-01,OH,Ohio,COM,commercial,7.7,4007.85933,cents per kilowatt-hour,million kilowatt hours,COM
2002-08-01,OH,Ohio,RES,residential,8.73,5380.79151,cents per kilowatt-hour,million kilowatt hours,RES
2002-08-01,OH,Ohio,COM,commercial,7.79,3837.21458,cents per kilowatt-hour,million kilowatt hours,COM
2002-09-01,OH,Ohio,RES,residential,8.6,4155.6936,cents per kilowatt-hour,million kilowatt hours,RES
2002-09-01,OH,Ohio,COM,commercial,7.83,3409.60451,cents per kilowatt-hour,million kilowatt hours,COM
2002-10-01,OH,Ohio,COM,commercial,7.87,3374.80551,cents per kilowatt-hour,million kilowatt hours,COM
2002-10-01,OH,Ohio,RES,residential,8.36,3454.28671,cents per kilowatt-hour,million kilowatt hours,RES
2002-11-01,OH,Ohio,RES,residential,7.93,3587.72179,cents per kilowatt-hour,million kilowatt hours,RES
2002-11-01,OH,Ohio,COM,commercial,7.9,2934.50826,cents per kilowatt-hour,million kilowatt hours,COM
2002-12-01,OH,Ohio,RES,residential,7.41,4792.93846,cents per kilowatt-hour,million kilowatt hours,RES
2002-12-01,OH,Ohio,COM,commercial,7.48,3204.38821,cents per kilowatt-hour,million kilowatt hours,COM
2003-01-01,OH,Ohio,RES,residential,7.4,5609.73127,cents per kilowatt-hour,million kilowatt hours,RES
2003-01-01,OH,Ohio,COM,commercial,7.09,3846.16394,cents per kilowatt-hour,million kilowatt hours,COM
2003-02-01,OH,Ohio,COM,commercial,7.59,3451.96132,cents per kilowatt-hour,million kilowatt hours,COM
2003-02-01,OH,Ohio,RES,residential,7.57,4609.84926,cents per kilowatt-hour,million kilowatt hours,RES
2003-03-01,OH,Ohio,COM,commercial,7.54,3643.5685,cents per kilowatt-hour,million kilowatt hours,COM
2003-03-01,OH,Ohio,RES,residential,7.76,4398.90101,cents per kilowatt-hour,million kilowatt hours,RES
2003-04-01,OH,Ohio,COM,commercial,7.66,3337.48827,cents per kilowatt-hour,million kilowatt hours,COM
2003-04-01,OH,Ohio,RES,residential,8.45,3087.25553,cents per kilowatt-hour,million kilowatt hours,RES
2003-05-01,OH,Ohio,RES,residential,8.83,3172.11508,cents per kilowatt-hour,million kilowatt hours,RES
2003-05-01,OH,Ohio,COM,commercial,7.77,3617.50606,cents per kilowatt-hour,million kilowatt hours,COM
2003-06-01,OH,Ohio,RES,residential,8.96,3563.08811,cents per kilowatt-hour,million kilowatt hours,RES
2003-06-01,OH,Ohio,COM,commercial,7.54,3769.12292,cents per kilowatt-hour,million kilowatt hours,COM
2003-07-01,OH,Ohio,RES,residential,9.02,4994.0723,cents per kilowatt-hour,million kilowatt hours,RES
2003-07-01,OH,Ohio,COM,commercial,7.68,4499.72561,cents per kilowatt-hour,million kilowatt hours,COM
2003-08-01,OH,Ohio,COM,commercial,7.57,4122.41608,cents per kilowatt-hour,million kilowatt hours,COM
2003-08-01,OH,Ohio,RES,residential,8.68,4867.95554,cents per kilowatt-hour,million kilowatt hours,RES
2003-09-01,OH,Ohio,RES,residential,8.72,3770.53271,cents per kilowatt-hour,million kilowatt hours,RES
2003-09-01,OH,Ohio,COM,commercial,7.6,3654.4743,cents per kilowatt-hour,million kilowatt hours,COM
2003-10-01,OH,Ohio,COM,commercial,7.71,3745.88456,cents per kilowatt-hour,million kilowatt hours,COM
2003-10-01,OH,Ohio,RES,residential,8.48,3338.12671,cents per kilowatt-hour,million kilowatt hours,RES
2003-11-01,OH,Ohio,RES,residential,8.23,3363.36139,cents per kilowatt-hour,million kilowatt hours,RES
2003-11-01,OH,Ohio,COM,commercial,7.58,3346.2898,cents per kilowatt-hour,million kilowatt hours,COM
2003-12-01,OH,Ohio,RES,residential,7.7,4845.5891,cents per kilowatt-hour,million kilowatt hours,RES
2003-12-01,OH,Ohio,COM,commercial,7.28,3701.96964,cents per kilowatt-hour,million kilowatt hours,COM
2004-01-01,OH,Ohio,RES,residential,7.59,5710.5576,cents per kilowatt-hour,million kilowatt hours,RES
2004-01-01,OH,Ohio,COM,commercial,7.37,3857.56133,cents per kilowatt-hour,million kilowatt hours,COM
2004-02-01,OH,Ohio,RES,residential,7.69,4630.49982,cents per kilowatt-hour,million kilowatt hours,RES
2004-02-01,OH,Ohio,COM,commercial,7.59,3476.0547,cents per kilowatt-hour,million kilowatt hours,COM
2004-03-01,OH,Ohio,RES,residential,8.27,4162.00576,cents per kilowatt-hour,million kilowatt hours,RES
2004-03-01,OH,Ohio,COM,commercial,7.9,3664.44888,cents per kilowatt-hour,million kilowatt hours,COM
2004-04-01,OH,Ohio,COM,commercial,7.83,3429.69087,cents per kilowatt-hour,million kilowatt hours,COM
2004-04-01,OH,Ohio,RES,residential,8.56,3415.89474,cents per kilowatt-hour,million kilowatt hours,RES
2004-05-01,OH,Ohio,COM,commercial,7.73,3691.9554,cents per kilowatt-hour,million kilowatt hours,COM
2004-05-01,OH,Ohio,RES,residential,8.78,3239.49391,cents per kilowatt-hour,million kilowatt hours,RES
2004-06-01,OH,Ohio,COM,commercial,7.78,4060.26967,cents per kilowatt-hour,million kilowatt hours,COM
2004-06-01,OH,Ohio,RES,residential,9.09,4104.39242,cents per kilowatt-hour,million kilowatt hours,RES
2004-07-01,OH,Ohio,COM,commercial,7.87,4099.02203,cents per kilowatt-hour,million kilowatt hours,COM
2004-07-01,OH,Ohio,RES,residential,8.97,4786.34018,cents per kilowatt-hour,million kilowatt hours,RES
2004-08-01,OH,Ohio,COM,commercial,7.93,4146.53108,cents per kilowatt-hour,million kilowatt hours,COM
2004-08-01,OH,Ohio,RES,residential,9.13,4452.70333,cents per kilowatt-hour,million kilowatt hours,RES
2004-09-01,OH,Ohio,COM,commercial,7.71,3931.75586,cents per kilowatt-hour,million kilowatt hours,COM
