period,stateid,stateDescription,sectorid,sectorName,sales,sales-units,sector
2025-11-01,OH,Ohio,RES,residential,3941.4996,million kilowatt hours,RES
2025-10-01,OH,Ohio,RES,residential,3329.72141,million kilowatt hours,RES
2025-09-01,OH,Ohio,RES,residential,3867.45194,million kilowatt hours,RES
2025-08-01,OH,Ohio,RES,residential,5251.915,million kilowatt hours,RES
2025-07-01,OH,Ohio,RES,residential,6279.67954,million kilowatt hours,RES
2025-06-01,OH,Ohio,RES,residential,4753.7897,million kilowatt hours,RES
2025-05-01,OH,Ohio,RES,residential,3344.91498,million kilowatt hours,RES
2025-04-01,OH,Ohio,RES,residential,3413.78552,million kilowatt hours,RES
2025-03-01,OH,Ohio,RES,residential,4067.07342,million kilowatt hours,RES
2025-02-01,OH,Ohio,RES,residential,4896.9223,million kilowatt hours,RES
2025-01-01,OH,Ohio,RES,residential,5904.74873,million kilowatt hours,RES
2024-12-01,OH,Ohio,RES,residential,4833.57306,million kilowatt hours,RES
2024-11-01,OH,Ohio,RES,residential,3408.86973,million kilowatt hours,RES
2024-10-01,OH,Ohio,RES,residential,3437.07545,million kilowatt hours,RES
2024-09-01,OH,Ohio,RES,residential,4136.14255,million kilowatt hours,RES
2024-08-01,OH,Ohio,RES,residential,5457.34991,million kilowatt hours,RES
2024-07-01,OH,Ohio,RES,residential,5547.11587,million kilowatt hours,RES
2024-06-01,OH,Ohio,RES,residential,4788.34842,million kilowatt hours,RES
2024-05-01,OH,Ohio,RES,residential,3624.73493,million kilowatt hours,RES
2024-04-01,OH,Ohio,RES,residential,3475.8325,million kilowatt hours,RES
2024-03-01,OH,Ohio,RES,residential,3790.01249,million kilowatt hours,RES
2024-02-01,OH,Ohio,RES,residential,4337.76339,million kilowatt hours,RES
2024-01-01,OH,Ohio,RES,residential,5337.53769,million kilowatt hours,RES
2023-12-01,OH,Ohio,RES,residential,4366.96452,million kilowatt hours,RES
2023-11-01,OH,Ohio,RES,residential,3688.38629,million kilowatt hours,RES
2023-10-01,OH,Ohio,RES,residential,3489.83517,million kilowatt hours,RES
2023-09-01,OH,Ohio,RES,residential,4042.34376,million kilowatt hours,RES
2023-08-01,OH,Ohio,RES,residential,4998.17331,million kilowatt hours,RES
2023-07-01,OH,Ohio,RES,residential,5231.62635,million kilowatt hours,RES
2023-06-01,OH,Ohio,RES,residential,3846.14483,million kilowatt hours,RES
2023-05-01,OH,Ohio,RES,residential,3421.64523,million kilowatt hours,RES
2023-04-01,OH,Ohio,RES,residential,3369.99208,million kilowatt hours,RES
2023-03-01,OH,Ohio,RES,residential,4341.17053,million kilowatt hours,RES
2023-02-01,OH,Ohio,RES,residential,4032.34019,million kilowatt hours,RES
2023-01-01,OH,Ohio,RES,residential,4884.91576,million kilowatt hours,RES
2022-12-01,OH,Ohio,RES,residential,4970.83025,million kilowatt hours,RES
2022-11-01,OH,Ohio,RES,residential,3762.4709,million kilowatt hours,RES
2022-10-01,OH,Ohio,RES,residential,3300.51906,million kilowatt hours,RES
2022-09-01,OH,Ohio,RES,residential,3992.805,million kilowatt hours,RES
2022-08-01,OH,Ohio,RES,residential,5284.98534,million kilowatt hours,RES
2022-07-01,OH,Ohio,RES,residential,5632.20432,million kilowatt hours,RES
2022-06-01,OH,Ohio,RES,residential,4678.33579,million kilowatt hours,RES
2022-05-01,OH,Ohio,RES,residential,3624.03756,million kilowatt hours,RES
2022-04-01,OH,Ohio,RES,residential,3529.99811,million kilowatt hours,RES
2022-03-01,OH,Ohio,RES,residential,4270.12149,million kilowatt hours,RES
2022-02-01,OH,Ohio,RES,residential,4800.49727,million kilowatt hours,RES
2022-01-01,OH,Ohio,RES,residential,5465.41092,million kilowatt hours,RES
2021-12-01,OH,Ohio,RES,residential,4477.891,million kilowatt hours,RES
2021-11-01,OH,Ohio,RES,residential,3869.87038,million kilowatt hours,RES
2021-10-01,OH,Ohio,RES,residential,3605.38141,million kilowatt hours,RES
2021-09-01,OH,Ohio,RES,residential,4263.11201,million kilowatt hours,RES
2021-08-01,OH,Ohio,RES,residential,5654.16228,million kilowatt hours,RES
2021-07-01,OH,Ohio,RES,residential,5301.08258,million kilowatt hours,RES
