,name,id,cov,lat,lon
2,"ATHENS OU, OH US",GHCND:USC00330279,1.0,39.3224,-82.0995
3,"BELLEFONTAINE, OH US",GHCND:USC00330563,1.0,40.3535,-83.7754
4,"BELLEVILLE LOCK AND DAM, OH US",GHCND:USC00330573,1.0,39.11665,-81.74284
5,"BEVERLY STP, OH US",GHCND:USC00330676,1.0,39.54747,-81.62835
6,"BOWLING GREEN WWTP, OH US",GHCND:USC00330862,1.0,41.3831,-83.6111
7,"BUCKEYE LAKE 1 N, OH US",GHCND:USC00331057,1.0,39.9522,-82.482
8,"BUCYRUS, OH US",GHCND:USC00331072,1.0,40.8126,-82.9698
9,"CELINA 3 NE, OH US",GHCND:USC00331390,1.0,40.56899,-84.537
10,"CENTERBURG 2 SE, OH US",GHCND:USC00331404,1.0,40.2913,-82.6546
11,"CHARDON, OH US",GHCND:USC00331458,1.0,41.58732,-81.19138
13,"CIRCLEVILLE, OH US",GHCND:USC00331592,1.0,39.6104,-82.9555
14,"COLUMBUS HAP CREMEAN WP, OH US",GHCND:USC00331777,1.0,40.0604,-82.8941
15,"DAYTON MCD, OH US",GHCND:USC00332067,1.0,39.78175,-84.19025
16,"DEFIANCE, OH US",GHCND:USC00332098,1.0,41.2783,-84.3847
17,"DENNISON WATER WORKS, OH US",GHCND:USC00332160,1.0,40.4056,-81.3435
18,"EATON, OH US",GHCND:USC00332485,1.0,39.7328,-84.6353
19,"ELYRIA 4 S, OH US",GHCND:USC00332603,1.0,41.3048,-82.1174
20,"FAIRFIELD, OH US",GHCND:USC00332651,1.0,39.3477,-84.5897
21,"FINDLAY WPCC, OH US",GHCND:USC00332791,1.0,41.0461,-83.6622
22,"FRANKLIN, OH US",GHCND:USC00332928,1.0,39.5536,-84.319
23,"FREMONT, OH US",GHCND:USC00332974,1.0,41.33353,-83.11959
24,"GALION WATER WORKS, OH US",GHCND:USC00333021,1.0,40.7231,-82.7999
25,"GALLIPOLIS, OH US",GHCND:USC00333029,1.0,38.82075,-82.18171
26,"GRAND RAPIDS, OH US",GHCND:USC00333292,1.0,41.41786,-83.87172
27,"GREENVILLE WATER PLANT, OH US",GHCND:USC00333375,1.0,40.1032,-84.6504
28,"GREER, OH US",GHCND:USC00333393,1.0,40.5518,-82.2015
29,"HANNIBAL LOCKS AND DAM, OH US",GHCND:USC00333500,1.0,39.6667,-80.8667
30,"HICKSVILLE, OH US",GHCND:USC00333722,1.0,41.28743,-84.75967
31,"HILLSBORO, OH US",GHCND:USC00333758,1.0,39.2334,-83.6091
32,"HIRAM, OH US",GHCND:USC00333780,1.0,41.30718,-81.14759
