name,id,cov,lat,lon
"ATHENS OU, OH US",GHCND:USC00330279,1.0,39.3224,-82.0995
"BELLEFONTAINE, OH US",GHCND:USC00330563,1.0,40.3535,-83.7754
"BEVERLY STP, OH US",GHCND:USC00330676,1.0,39.54747,-81.62835
"BOWLING GREEN WWTP, OH US",GHCND:USC00330862,1.0,41.3831,-83.6111
"BUCYRUS, OH US",GHCND:USC00331072,1.0,40.8126,-82.9698
"CELINA 3 NE, OH US",GHCND:USC00331390,1.0,40.56899,-84.537
"CENTERBURG 2 SE, OH US",GHCND:USC00331404,1.0,40.2913,-82.6546
"CHARDON, OH US",GHCND:USC00331458,1.0,41.58732,-81.19138
"CIRCLEVILLE, OH US",GHCND:USC00331592,1.0,39.6104,-82.9555
"DAYTON MCD, OH US",GHCND:USC00332067,1.0,39.78175,-84.19025
"DEFIANCE, OH US",GHCND:USC00332098,1.0,41.2783,-84.3847
"DENNISON WATER WORKS, OH US",GHCND:USC00332160,1.0,40.4056,-81.3435
"EATON, OH US",GHCND:USC00332485,1.0,39.7328,-84.6353
"FAIRFIELD, OH US",GHCND:USC00332651,1.0,39.3477,-84.5897
"FINDLAY WPCC, OH US",GHCND:USC00332791,1.0,41.0461,-83.6622
"FRANKLIN, OH US",GHCND:USC00332928,1.0,39.5536,-84.319
"FREMONT, OH US",GHCND:USC00332974,1.0,41.33353,-83.11959
"GALION WATER WORKS, OH US",GHCND:USC00333021,1.0,40.7231,-82.7999
"GALLIPOLIS, OH US",GHCND:USC00333029,1.0,38.82075,-82.18171
"GREENVILLE WATER PLANT, OH US",GHCND:USC00333375,1.0,40.1032,-84.6504
"HANNIBAL LOCKS AND DAM, OH US",GHCND:USC00333500,1.0,39.6667,-80.8667
"HICKSVILLE, OH US",GHCND:USC00333722,1.0,41.28743,-84.75967
"HILLSBORO, OH US",GHCND:USC00333758,1.0,39.2334,-83.6091
"HIRAM, OH US",GHCND:USC00333780,1.0,41.30718,-81.14759
"LAKEVIEW, OH US",GHCND:USC00333915,1.0,40.4911,-83.92532
"JACKSON 3 NW, OH US",GHCND:USC00334004,1.0,39.07909,-82.70651
"KENTON, OH US",GHCND:USC00334189,1.0,40.64851,-83.606
"LANCASTER, OH US",GHCND:USC00334403,1.0,39.7156,-82.6073
"LIMA WWTP, OH US",GHCND:USC00334551,1.0,40.7247,-84.1294
"LOGAN, OH US",GHCND:USC00334672,1.0,39.5326,-82.3939
"LONDON STATE FISH HATCHERY, OH US",GHCND:USC00334681,1.0,39.8972,-83.5096
"MANSFIELD 5 W, OH US",GHCND:USC00334874,1.0,40.76047,-82.61668
"MARIETTA WWTP, OH US",GHCND:USC00334927,1.0,39.4087,-81.4329
"MARYSVILLE, OH US",GHCND:USC00334979,1.0,40.19382,-83.26751
"MIAMITOWN, OH US",GHCND:USC00335188,1.0,39.2159,-84.6948
"MILLERSBURG, OH US",GHCND:USC00335297,1.0,40.5375,-81.9197
"MONTPELIER, OH US",GHCND:USC00335438,1.0,41.58924,-84.5858
"MOSQUITO CREEK LAKE, OH US",GHCND:USC00335505,1.0,41.29853,-80.76418
"NEWARK WATER WORKS, OH US",GHCND:USC00335747,1.0,40.0875,-82.4128
"NEW CARLISLE, OH US",GHCND:USC00335786,1.0,39.9317,-84.0329
"NEW LEXINGTON 2 NW, OH US",GHCND:USC00335857,1.0,39.73315,-82.21559
"NORWALK WWTP, OH US",GHCND:USC00336118,1.0,41.26342,-82.61462
"OBERLIN, OH US",GHCND:USC00336196,1.0,41.2802,-82.2187
"PAINESVILLE 4 NW, OH US",GHCND:USC00336389,1.0,41.75288,-81.29533
"PANDORA, OH US",GHCND:USC00336405,1.0,40.9462,-83.9614
"PAULDING, OH US",GHCND:USC00336465,1.0,41.1247,-84.5919
"PIQUA WWTP, OH US",GHCND:USC00336650,1.0,40.1311,-84.2344
"PORTSMOUTH SCIOTOVILLE, OH US",GHCND:USC00336781,1.0,38.7569,-82.8872
"RAVENNA 2 S, OH US",GHCND:USC00336949,1.0,41.13664,-81.28437
"SIDNEY 1 S, OH US",GHCND:USC00337693,1.0,40.2705,-84.1507
"SOUTH POINT, OH US",GHCND:USC00337857,1.0,38.42375,-82.59307
"SPRINGFIELD WATER TREATMENT PLANT, OH US",GHCND:USC00337935,1.0,39.9735,-83.8072
"STEUBENVILLE, OH US",GHCND:USC00338025,1.0,40.3765,-80.6283
"URBANA WRF, OH US",GHCND:USC00338552,1.0,40.0991,-83.7823
