,value,datatype,date
0,-13,TOBS,1990-01-01
1,0,TOBS,1990-01-02
2,61,TOBS,1990-01-03
3,89,TOBS,1990-01-04
4,33,TOBS,1990-01-05
5,28,TOBS,1990-01-06
6,16,TOBS,1990-01-07
7,33,TOBS,1990-01-08
8,69,TOBS,1990-01-09
9,36,TOBS,1990-01-10
10,47,TOBS,1990-01-11
11,0,TOBS,1990-01-12
12,-16,TOBS,1990-01-13
13,11,TOBS,1990-01-14
14,94,TOBS,1990-01-15
15,97,TOBS,1990-01-16
16,119,TOBS,1990-01-17
17,91,TOBS,1990-01-18
18,14,TOBS,1990-01-19
19,94,TOBS,1990-01-20
20,64,TOBS,1990-01-21
21,50,TOBS,1990-01-22
22,53,TOBS,1990-01-23
23,94,TOBS,1990-01-24
24,64,TOBS,1990-01-25
25,25,TOBS,1990-01-26
26,55,TOBS,1990-01-27
27,47,TOBS,1990-01-28
28,5,TOBS,1990-01-29
29,25,TOBS,1990-01-30
30,36,TOBS,1990-01-31
31,50,TOBS,1990-02-01
32,105,TOBS,1990-02-02
33,61,TOBS,1990-02-03
34,36,TOBS,1990-02-04
35,41,TOBS,1990-02-05
36,67,TOBS,1990-02-06
37,50,TOBS,1990-02-07
38,91,TOBS,1990-02-08
39,111,TOBS,1990-02-09
40,47,TOBS,1990-02-10
41,53,TOBS,1990-02-11
42,50,TOBS,1990-02-12
43,133,TOBS,1990-02-13
44,100,TOBS,1990-02-14
45,105,TOBS,1990-02-15
46,89,TOBS,1990-02-16
47,0,TOBS,1990-02-17
48,25,TOBS,1990-02-18
49,39,TOBS,1990-02-19
50,0,TOBS,1990-02-20
51,44,TOBS,1990-02-21
52,133,TOBS,1990-02-22
53,72,TOBS,1990-02-23
54,-28,TOBS,1990-02-24
55,-81,TOBS,1990-02-25
56,-47,TOBS,1990-02-26
57,56,TOBS,1990-02-27
58,25,TOBS,1990-02-28
59,25,TOBS,1990-03-01
60,75,TOBS,1990-03-02
61,27,TOBS,1990-03-03
62,17,TOBS,1990-03-04
